course_name,name,section,overall_grade,grade,difficulty,useful,comments,time
GELH1001,CHEONG IM LAN,3,A,A,A,A,10,MON 14:30-15:45 & THU 14:30-15:45
GELH1001,CHEONG IM LAN,4,A,A,A,A,10,MON 16:00-17:15 & THU 16:00-17:15
GELH1007,LI ZIHAO,1,A,A,A,A,2,SAT 08:30-11:15
GEST2002,KUZMA STRELNIKOV,1,A,A,A,A,2,MON 11:30-12:45 & THU 11:30-12:45
GELH1000,SUN XIAOXUE,10,A-,A,A,A,1,MON 08:30-09:45 & THU 08:30-09:45
GELH1010,LEE TING MIEN,1,A-,A,A,A,1,FRI 08:30-09:45 & TUE 08:30-09:45
GEGA1006,ZHA CHENYANG,4,B+,A-,A-,A-,18,FRI 17:30-18:45 & TUE 17:30-18:45
GELH2001,JEREMY CENTENO DE CHAVEZ,1,B+,A,B+,B+,18,MON 10:00-12:45
GELH2001,JEREMY CENTENO DE CHAVEZ,2,B+,A,B+,B+,18,FRI 16:00-18:45
GEST1003,WAN LUNG YAM,1,B+,A-,A-,B+,6,MON 11:30-12:45 & THU 11:30-12:45
GEGA1006,SUN PENGZHAN,2,B,B+,B+,B,12,MON 16:00-17:15 & THU 16:00-17:15
GELH2004,WEATHERLY CHRISTOPHER ALAN,1,B,B-,B-,B-,5,TUE 19:00-21:45
GESB1003,KONG WA,7,B,A-,A-,B+,23,MON 13:00-14:15 & THU 13:00-14:15
GESB1003,KONG WA,8,B,A-,A-,B+,23,MON 13:00-14:15 & THU 13:00-14:15
GESB1003,KONG WA,9,B,A-,A-,B+,23,MON 13:00-14:15 & THU 13:00-14:15
GEST1004,KOU KIT IAN,2,B,A,C,A,1,MON 10:00-11:15 & THU 10:00-11:15 & WED 10:00-10:50
GEST1006,WU IOK KUAN,1,B,B+,B+,B,15,MON 16:00-17:15 & THU 16:00-17:15
GEST1006,WU IOK KUAN,2,B,B+,B+,B,15,FRI 16:00-17:15 & TUE 16:00-17:15
GEST1016,SUN GUOXING,1,B,B+,B,B,66,MON 16:00-17:15 & THU 16:00-17:15
GEST1017,CHEANG WAI SAN / LU JIAHONG / UNG OI LAM CAROLINA,1,B,A-,A-,B+,7,MON 14:30-15:45 & THU 14:30-15:45
GEGA1000,XIE JINGZHEN,1,B-,B,B+,C+,4,MON 14:30-15:45 & THU 14:30-15:45
GEGA1003,ROSTAM MAG.IUR.DR.IUR.NEUWIRTH,1,B-,B-,B+,B-,19,MON 08:30-09:45 & THU 08:30-09:45
GEGA1006,SHAO HUAIYU,1,B-,B+,B-,B,37,MON 08:30-09:45 & THU 08:30-09:45
GEGA1006,XING GUICHUAN,3,B-,B,B,C+,40,FRI 16:00-17:15 & TUE 16:00-17:15
GEGA3001,YANG HAI,1,B-,B,C,B,28,MON 16:00-17:15 & THU 16:00-17:15
GEGA3001,YANG HAI,2,B-,B,C,B,28,FRI 14:30-15:45 & TUE 14:30-15:45
GELH1000,CHEONG IM LAN,4,B-,B+,B,B+,69,FRI 10:00-11:15 & TUE 10:00-11:15
GELH1000,CHEONG IM LAN,5,B-,B+,B,B+,69,FRI 11:30-12:45 & TUE 11:30-12:45
GELH1000,CHEONG IM LAN,6,B-,B+,B,B+,69,FRI 14:30-15:45 & TUE 14:30-15:45
GEST1001,JIAO YIFAN,6,B-,B,B-,B,4,MON 16:00-17:15 & THU 16:00-17:15
GEST1001,JIAO YIFAN,7,B-,B,B-,B,4,FRI 16:00-17:15 & TUE 16:00-17:15
GEST1002,LEI CHON LOK,4,B-,A,B,A-,33,MON 08:30-09:45 & THU 08:30-09:45
GEST1004,CHENG CHE MAN RAYMOND,1,B-,B-,C,C+,14,MON 16:00-17:15 & THU 16:00-17:15 & WED 11:00-11:50
GEST1012,TAM KAM WENG,1,B-,B-,B,C,12,MON 08:30-09:45 & THU 08:30-09:45
GEST1014,LIAO JINFENG,1,B-,B-,B-,B-,6,MON 17:30-18:45 & THU 17:30-18:45
GELH1000,CHEANG WAI LEK,17,C+,B,B,B-,37,MON 17:30-18:45 & THU 17:30-18:45
GELH1000,CHEANG WAI LEK,18,C+,B,B,B-,37,FRI 17:30-18:45 & TUE 17:30-18:45
GELH1000,CHEANG WAI LEK,19,C+,B,B,B-,37,SAT 10:00-12:45
GELH1001,WANG MINGYU,1,C+,B-,B-,B-,31,MON 13:00-14:15 & THU 13:00-14:15
GELH1001,WANG MINGYU,2,C+,B-,B-,B-,31,FRI 17:30-18:45 & TUE 17:30-18:45
GELH2003,VONG WENG CHON,1,C+,B-,C+,B,62,WED 10:00-12:45
GELH2003,VONG WENG CHON,2,C+,B-,C+,B,62,THU 10:00-12:45
GELH2003,VONG WENG CHON,3,C+,B-,C+,B,62,FRI 10:00-12:45
GELH2005,CAI GUO JIE,1,C+,B,B,B,7,WED 10:00-12:45
GESB1002,KOU KEI SANG,16,C+,B-,C+,B-,122,FRI 16:00-17:15 & TUE 16:00-17:15
GESB1002,KOU KEI SANG,17,C+,B-,C+,B-,122,FRI 16:00-17:15 & TUE 16:00-17:15
GESB1002,KOU KEI SANG,18,C+,B-,C+,B-,122,FRI 16:00-17:15 & TUE 16:00-17:15
GESB1005,HO HENG MAN,1,C+,B+,B,B-,24,MON 16:00-17:15 & THU 16:00-17:15
GESB1005,HO HENG MAN,2,C+,B+,B,B-,24,MON 14:30-15:45 & THU 14:30-15:45
GEST1001,KUAN UN FONG,3,C+,B,B,B,40,MON 11:30-12:45 & THU 11:30-12:45
GEST1001,KUAN UN FONG,4,C+,B,B,B,40,FRI 13:00-14:15 & TUE 13:00-14:15
GEST1001,KUAN UN FONG,5,C+,B,B,B,40,FRI 14:30-15:45 & TUE 14:30-15:45
GEST1001,LAO WUN LEI,1,C+,B-,C+,B-,45,MON 13:00-14:15 & THU 13:00-14:15
GEST1001,LAO WUN LEI,2,C+,B-,C+,B-,45,MON 14:30-15:45 & THU 14:30-15:45
GEST1001,LAO WUN LEI,8,C+,B-,C+,B-,45,FRI 11:30-12:45 & TUE 11:30-12:45
GEST1002,WANG PENG / WANG YA FAN,1,C+,A-,A-,B-,2,FRI 11:30-12:45 & TUE 11:30-12:45
GEST1004,WAN LUNG YAM,3,C+,B,C+,C+,35,FRI 16:00-17:15 & TUE 16:00-17:15 & WED 10:00-10:50
GEST1004,WAN LUNG YAM,4,C+,B,C+,C+,35,MON 14:30-15:45 & THU 14:30-15:45 & TUE 11:30-12:20
GEST1004,WAN LUNG YAM,5,C+,B,C+,C+,35,FRI 10:00-10:50 & MON 10:00-11:15 & THU 10:00-11:15
GEST1007,GARY WONG / WONG KOON HO,1,C+,B-,C+,B-,81,MON 08:30-09:45 & THU 08:30-09:45
GEST1007,GARY WONG / WONG KOON HO,2,C+,B-,C+,B-,81,FRI 10:00-11:15 & TUE 10:00-11:15
GEST1015,NG KAR WEI,1,C+,B,B-,B-,20,MON 17:30-18:45 & THU 17:30-18:45
GEGA1000,"LIAO BOLUN, EDGAR",5,C,C,C,C,3,MON 08:30-09:45 & THU 08:30-09:45
GEGA1000,"LIAO BOLUN, EDGAR",6,C,C,C,C,3,MON 10:00-11:15 & THU 10:00-11:15
GEGA1000,"LIAO BOLUN, EDGAR",7,C,C,C,C,3,MON 13:00-14:15 & THU 13:00-14:15
GEGA1000,SPOONER PAUL BARRIE,8,C,C+,C-,C,77,FRI 08:30-09:45 & TUE 08:30-09:45
GEGA1000,SPOONER PAUL BARRIE,9,C,C+,C-,C,77,FRI 10:00-11:15 & TUE 10:00-11:15
GEGA1000,SPOONER PAUL BARRIE,10,C,C+,C-,C,77,FRI 13:00-14:15 & TUE 13:00-14:15
GELH1000,CHAN WAI CHU,14,C,C,C,C-,20,MON 10:00-11:15 & THU 10:00-11:15
GELH1000,CHAN WAI CHU,15,C,C,C,C-,20,SAT 10:00-11:15 & WED 10:00-11:15
GELH1000,CHAN WAI CHU,16,C,C,C,C-,20,SAT 11:30-12:45 & WED 11:30-12:45
GELH1000,SIO CHIO IEONG,1,C,B-,C+,C-,37,MON 10:00-11:15 & THU 10:00-11:15
GELH1000,SIO CHIO IEONG,2,C,B-,C+,C-,37,MON 11:30-12:45 & THU 11:30-12:45
GELH1000,SIO CHIO IEONG,3,C,B-,C+,C-,37,FRI 13:00-14:15 & TUE 13:00-14:15
GELH2002,GLEN TIMMERMANS,1,C,C+,C-,B-,81,FRI 10:00-12:45
GESB1002,DIMITRA AMARANTIDOU,1,C,C,C-,C+,106,MON 10:00-11:15 & THU 10:00-11:15
GESB1002,DIMITRA AMARANTIDOU,2,C,C,C-,C+,106,MON 10:00-11:15 & THU 10:00-11:15
GESB1002,DIMITRA AMARANTIDOU,3,C,C,C-,C+,106,MON 10:00-11:15 & THU 10:00-11:15
GESB1002,DIMITRA AMARANTIDOU,4,C,C,C-,C+,106,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1002,DIMITRA AMARANTIDOU,5,C,C,C-,C+,106,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1002,DIMITRA AMARANTIDOU,6,C,C,C-,C+,106,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1002,DIMITRA AMARANTIDOU,7,C,C,C-,C+,106,MON 13:00-14:15 & THU 13:00-14:15
GESB1002,DIMITRA AMARANTIDOU,8,C,C,C-,C+,106,MON 13:00-14:15 & THU 13:00-14:15
GESB1002,DIMITRA AMARANTIDOU,9,C,C,C-,C+,106,MON 13:00-14:15 & THU 13:00-14:15
GESB1002,DIMITRA AMARANTIDOU,10,C,C,C-,C+,106,FRI 14:30-15:45 & TUE 14:30-15:45
GESB1002,DIMITRA AMARANTIDOU,11,C,C,C-,C+,106,FRI 14:30-15:45 & TUE 14:30-15:45
GESB1002,DIMITRA AMARANTIDOU,12,C,C,C-,C+,106,FRI 14:30-15:45 & TUE 14:30-15:45
GESB1002,DIMITRA AMARANTIDOU,13,C,C,C-,C+,106,MON 14:30-15:45 & THU 14:30-15:45
GESB1002,DIMITRA AMARANTIDOU,14,C,C,C-,C+,106,MON 14:30-15:45 & THU 14:30-15:45
GESB1002,DIMITRA AMARANTIDOU,15,C,C,C-,C+,106,MON 14:30-15:45 & THU 14:30-15:45
GESB1003,LAI KUAN JU,1,C,B-,B-,C+,79,MON 10:00-11:15 & THU 10:00-11:15
GESB1003,LAI KUAN JU,2,C,B-,B-,C+,79,MON 10:00-11:15 & THU 10:00-11:15
GESB1003,LAI KUAN JU,3,C,B-,B-,C+,79,MON 10:00-11:15 & THU 10:00-11:15
GESB1003,LAI KUAN JU,4,C,B-,B-,C+,79,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1003,LAI KUAN JU,5,C,B-,B-,C+,79,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1003,LAI KUAN JU,6,C,B-,B-,C+,79,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1006,MINGLI ZHENG,1,C,C,C+,C-,35,FRI 10:00-11:15 & TUE 10:00-11:15
GESB2001,JA YOUNG CHOE,1,C,C+,C,C+,12,FRI 14:30-15:45 & TUE 14:30-15:45
GESB2003,JOSEPH ADEA SY-CHANGCO,1,C,C+,C+,C-,20,FRI 13:00-14:15 & TUE 13:00-14:15
GESB2003,JOSEPH ADEA SY-CHANGCO,2,C,C+,C+,C-,20,MON 16:00-17:15 & THU 16:00-17:15
GESB2003,JOSEPH ADEA SY-CHANGCO,3,C,C+,C+,C-,20,FRI 17:30-18:45 & TUE 17:30-18:45
GEST1002,JUNG WOO PARK / WANG LI,2,C,B-,B,C-,13,MON 16:00-17:15 & THU 16:00-17:15
GEST1005,CHAN WING HAN BRENDA,1,C,C-,C+,D+,58,MON 08:30-09:45 & THU 08:30-09:45
GEST1009,LAM TENG,1,C,C+,C,C+,34,MON 08:30-09:45 & THU 08:30-09:45
GEST1010,IP WENG FAI,1,C,D+,C-,D+,15,FRI 10:00-11:15 & TUE 10:00-11:15
GEST1019,ZHANG MINGLEI,1,C,C+,C+,C,41,FRI 08:30-09:45 & TUE 08:30-09:45
GEGA2003,SOU VA IAN SUZANA,1,C-,C,D,B-,24,FRI 13:00-14:15 & TUE 13:00-14:15
GELH1000,LAO KENG CHONG,12,C-,D+,C+,D,30,MON 14:30-15:45 & THU 14:30-15:45
GELH1000,LAO KENG CHONG,13,C-,D+,C+,D,30,FRI 10:00-11:15 & TUE 10:00-11:15
GELH1000,LO IN FAT,8,C-,C-,C-,D+,36,FRI 08:30-09:45 & TUE 08:30-09:45
GELH1000,MA WAN CHAM,11,C-,C-,C,C-,168,FRI 17:30-18:45 & TUE 17:30-18:45
GESB1001,KUOK OI MEI,1,C-,C-,C,D+,38,MON 10:00-11:15 & THU 10:00-11:15
GESB1001,KUOK OI MEI,2,C-,C-,C,D+,38,MON 10:00-11:15 & THU 10:00-11:15
GESB1001,KUOK OI MEI,3,C-,C-,C,D+,38,MON 10:00-11:15 & THU 10:00-11:15
GESB1001,KUOK OI MEI,4,C-,C-,C,D+,38,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1001,KUOK OI MEI,5,C-,C-,C,D+,38,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1001,KUOK OI MEI,6,C-,C-,C,D+,38,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1001,KUOK OI MEI,7,C-,C-,C,D+,38,MON 13:00-14:15 & THU 13:00-14:15
GESB1001,KUOK OI MEI,8,C-,C-,C,D+,38,MON 13:00-14:15 & THU 13:00-14:15
GESB1001,KUOK OI MEI,9,C-,C-,C,D+,38,MON 13:00-14:15 & THU 13:00-14:15
GESB1001,KUOK OI MEI,10,C-,C-,C,D+,38,FRI 14:30-15:45 & TUE 14:30-15:45
GESB1001,KUOK OI MEI,11,C-,C-,C,D+,38,FRI 14:30-15:45 & TUE 14:30-15:45
GESB1001,KUOK OI MEI,12,C-,C-,C,D+,38,FRI 14:30-15:45 & TUE 14:30-15:45
GESB2002,ZHANG LIWEN,1,C-,D+,D+,C-,11,MON 10:00-11:15 & THU 10:00-11:15
GEGA1000,WEN RUJIA,2,D+,C-,D+,C-,279,FRI 14:30-15:45 & TUE 14:30-15:45
GEGA1000,WEN RUJIA,3,D+,C-,D+,C-,279,FRI 16:00-17:15 & TUE 16:00-17:15
GEGA1000,WEN RUJIA,4,D+,C-,D+,C-,279,MON 16:00-17:15 & THU 16:00-17:15
GELH2008,LEI WAI SENG,1,D+,C-,D,D+,16,MON 10:00-11:15 & THU 10:00-11:15
GESB1001,LEUNG KHALILIAN ROSE,13,D+,D+,D+,D+,447,MON 14:30-15:45 & THU 14:30-15:45
GESB1001,LEUNG KHALILIAN ROSE,14,D+,D+,D+,D+,447,MON 14:30-15:45 & THU 14:30-15:45
GESB1001,LEUNG KHALILIAN ROSE,15,D+,D+,D+,D+,447,MON 14:30-15:45 & THU 14:30-15:45
GESB1001,LEUNG KHALILIAN ROSE,16,D+,D+,D+,D+,447,FRI 16:00-17:15 & TUE 16:00-17:15
GESB1001,LEUNG KHALILIAN ROSE,17,D+,D+,D+,D+,447,FRI 16:00-17:15 & TUE 16:00-17:15
GESB1001,LEUNG KHALILIAN ROSE,18,D+,D+,D+,D+,447,FRI 16:00-17:15 & TUE 16:00-17:15
GESB1013,LEUNG SHING ON,1,D+,D+,C,D-,34,FRI 11:30-12:45 & TUE 11:30-12:45
GEST1008,WAN IAT MENG,1,D+,C-,D,C-,28,FRI 08:30-09:45 & TUE 08:30-09:45
GELH1000,CHEN ZHONG,9,D,D,D+,D,42,FRI 16:00-17:15 & TUE 16:00-17:15
GESB1009,CHANG SIO NGA,1,D,D,D,D-,82,MON 08:30-09:45 & THU 08:30-09:45
GESB2004,CAROL TING,1,D,D,C,D,1,FRI 16:00-17:15 & TUE 16:00-17:15
